Day,Date,Holiday Name,Type,Comments
Monday,Jan 01,New Year's Day,Federal Holiday,
Monday,Jan 15,Martin Luther King Jr. Day,Federal Holiday,3rd Monday in January
Monday,Feb 12,Lincoln's Birthday,Government Holiday,"Connecticut, Illinois, Missouri, New York."
Monday,Feb 19,Washington's Birthday (Observed),Federal Holiday,3rd Monday in February
Sunday,Apr 01,Easter Sunday,Not A Public Holiday,
Sunday,May 13,Mother's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
Monday,May 28,Memorial Day,Federal Holiday,Last Monday in May
Sunday,Jun 17,Father's Day,Not A Public Holiday,3rd Sunday in June. Not a public holiday
Wednesday,Jul 04,Independence Day,Federal Holiday,
Monday,Sep 03,Labor Day,Federal Holiday,1st Monday in September
Monday,Oct 08,Columbus Day,Federal Holiday,2nd Monday in October
Tuesday,Nov 06,Election Day,Government Holiday,several states
Monday,Nov 12,Veterans Day,Federal Holiday,
Thursday,Nov 22,Thanksgiving,Federal Holiday,4th Thursday in November
Wednesday,Dec 05,National Day of Mourning,Government Holiday,State funeral of George W. Bush senior
Monday,Dec 24,Christmas Eve,Federal Holiday,For federal workers
Tuesday,Dec 25,Christmas Day,Federal Holiday,
