temperature_2m (°C),precipitation (mm),rain (mm),cloudcover (%),cloudcover_low (%),cloudcover_mid (%),cloudcover_high (%),windspeed_10m (km/h),winddirection_10m (°)
-11.1,0.0,0.0,0.0,0.0,0.0,0.0,9.4,302.0
-11.5,0.0,0.0,0.0,0.0,0.0,0.0,10.1,297.0
-11.8,0.0,0.0,0.0,0.0,0.0,0.0,12.3,302.0
-12.2,0.0,0.0,0.0,0.0,0.0,0.0,13.9,307.0
-12.2,0.0,0.0,0.0,0.0,0.0,0.0,14.3,309.0
-12.3,0.0,0.0,0.0,0.0,0.0,0.0,14.1,310.0
-12.4,0.0,0.0,0.0,0.0,0.0,0.0,13.8,311.0
-12.4,0.0,0.0,0.0,0.0,0.0,0.0,12.8,310.0
-12.5,0.0,0.0,0.0,0.0,0.0,0.0,11.3,307.0
-13.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,306.0
-13.9,0.0,0.0,0.0,0.0,0.0,0.0,11.8,310.0
-14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,303.0
-14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,304.0
-13.9,0.0,0.0,0.0,0.0,0.0,0.0,10.5,301.0
-13.2,0.0,0.0,0.0,0.0,0.0,0.0,14.6,303.0
-11.4,0.0,0.0,0.0,0.0,0.0,0.0,16.2,307.0
-10.6,0.0,0.0,0.0,0.0,0.0,0.0,16.6,309.0
-9.5,0.0,0.0,0.0,0.0,0.0,0.0,17.4,308.0
-8.7,0.0,0.0,5.0,6.0,0.0,0.0,18.4,310.0
-8.1,0.0,0.0,40.0,42.0,4.0,0.0,19.9,316.0
-7.6,0.0,0.0,1.0,1.0,0.0,0.0,17.1,311.0
-7.5,0.0,0.0,17.0,13.0,8.0,0.0,13.1,302.0
-8.2,0.0,0.0,0.0,0.0,0.0,0.0,9.3,283.0
-8.8,0.0,0.0,0.0,0.0,0.0,0.0,9.1,263.0
-9.3,0.0,0.0,0.0,0.0,0.0,0.0,8.9,256.0
-9.7,0.0,0.0,0.0,0.0,0.0,0.0,8.8,251.0
-9.9,0.0,0.0,0.0,0.0,0.0,0.0,9.7,243.0
-10.1,0.0,0.0,0.0,0.0,0.0,0.0,11.6,248.0
-10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.6,258.0
-10.2,0.0,0.0,0.0,0.0,0.0,0.0,15.2,266.0
-10.3,0.0,0.0,0.0,0.0,0.0,0.0,15.5,271.0
-10.2,0.0,0.0,0.0,0.0,0.0,0.0,15.5,273.0
-10.2,0.0,0.0,0.0,0.0,0.0,0.0,15.1,273.0
-10.3,0.0,0.0,0.0,0.0,0.0,0.0,15.1,273.0
-10.7,0.0,0.0,0.0,0.0,0.0,0.0,13.6,259.0
-10.6,0.0,0.0,0.0,0.0,0.0,0.0,14.0,258.0
-10.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,254.0
-10.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,250.0
-9.6,0.0,0.0,0.0,0.0,0.0,0.0,13.4,250.0
-7.9,0.0,0.0,0.0,0.0,0.0,0.0,15.1,258.0
-7.0,0.0,0.0,1.0,0.0,0.0,4.0,15.9,264.0
-5.8,0.0,0.0,7.0,6.0,0.0,5.0,17.5,278.0
-5.0,0.0,0.0,1.0,0.0,2.0,0.0,16.3,275.0
-4.5,0.0,0.0,1.0,0.0,1.0,0.0,15.7,259.0
-4.2,0.0,0.0,1.0,0.0,1.0,0.0,16.2,249.0
-4.3,0.0,0.0,0.0,0.0,0.0,0.0,14.3,242.0
-5.2,0.0,0.0,1.0,1.0,0.0,0.0,10.9,236.0
-5.8,0.0,0.0,1.0,1.0,0.0,0.0,13.2,235.0
-6.2,0.0,0.0,0.0,0.0,0.0,0.0,15.1,242.0
-6.6,0.0,0.0,6.0,1.0,0.0,16.0,15.1,245.0
-7.1,0.0,0.0,12.0,1.0,0.0,38.0,13.7,247.0
-7.8,0.0,0.0,13.0,1.0,0.0,41.0,12.0,249.0
-7.9,0.0,0.0,17.0,1.0,0.0,54.0,10.2,247.0
-8.4,0.0,0.0,14.0,0.0,0.0,47.0,9.7,248.0
-8.7,0.0,0.0,11.0,1.0,0.0,35.0,9.0,241.0
-8.6,0.0,0.0,6.0,0.0,0.0,20.0,9.6,236.0
-8.7,0.0,0.0,6.0,0.0,0.0,20.0,9.2,244.0
-9.0,0.0,0.0,11.0,0.0,0.0,37.0,8.0,265.0
-10.9,0.0,0.0,21.0,0.0,0.0,69.0,8.9,297.0
-10.8,0.0,0.0,13.0,0.0,0.0,43.0,7.7,259.0
-11.4,0.0,0.0,1.0,0.0,0.0,3.0,9.0,241.0
-11.3,0.0,0.0,0.0,0.0,0.0,0.0,7.6,239.0
-9.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,240.0
-7.3,0.0,0.0,13.0,0.0,0.0,43.0,4.3,246.0
-6.7,0.0,0.0,27.0,0.0,0.0,89.0,4.8,228.0
-5.3,0.0,0.0,30.0,0.0,0.0,100.0,5.2,214.0
-4.2,0.0,0.0,67.0,0.0,61.0,100.0,4.5,194.0
-3.6,0.0,0.0,88.0,0.0,97.0,100.0,4.9,163.0
-3.0,0.0,0.0,31.0,0.0,51.0,0.0,6.6,151.0
-2.5,0.0,0.0,21.0,0.0,32.0,6.0,5.8,158.0
-3.5,0.0,0.0,63.0,0.0,55.0,100.0,8.4,133.0
-4.5,0.0,0.0,50.0,0.0,84.0,0.0,8.9,117.0
-4.5,0.0,0.0,32.0,0.0,51.0,3.0,7.6,95.0
-4.7,0.0,0.0,83.0,0.0,88.0,99.0,7.3,70.0
-5.3,0.0,0.0,32.0,0.0,4.0,97.0,6.2,54.0
-4.9,0.0,0.0,87.0,0.0,95.0,100.0,9.4,43.0
-4.8,0.0,0.0,64.0,1.0,55.0,100.0,12.6,5.0
-4.3,0.0,0.0,93.0,4.0,99.0,100.0,13.0,6.0
-4.0,0.1,0.0,82.0,5.0,99.0,60.0,14.3,10.0
-3.6,0.2,0.0,100.0,36.0,99.0,100.0,17.7,2.0
-3.7,0.4,0.0,100.0,93.0,100.0,100.0,20.5,1.0
-3.7,0.5,0.0,100.0,99.0,99.0,100.0,24.1,360.0
-4.7,0.7,0.0,100.0,90.0,100.0,100.0,23.6,352.0
-4.8,1.3,0.0,100.0,99.0,100.0,100.0,27.1,355.0
-4.9,1.8,0.0,100.0,93.0,100.0,100.0,30.7,357.0
-5.2,2.3,0.0,100.0,91.0,100.0,100.0,33.3,354.0
-5.6,3.1,0.0,100.0,91.0,100.0,100.0,35.8,354.0
-5.6,3.1,0.0,100.0,72.0,100.0,97.0,37.8,352.0
-5.3,2.7,0.0,100.0,22.0,99.0,83.0,39.1,350.0
-5.1,2.2,0.0,81.0,4.0,100.0,59.0,39.9,343.0
-4.6,1.8,0.0,79.0,1.0,100.0,61.0,39.0,337.0
-4.3,0.9,0.0,85.0,0.0,100.0,82.0,37.4,332.0
-4.1,0.6,0.0,90.0,1.0,100.0,97.0,35.7,326.0
-4.0,0.4,0.0,90.0,0.0,100.0,100.0,35.2,318.0
-3.9,0.3,0.0,90.0,0.0,100.0,100.0,30.4,310.0
-3.7,0.2,0.0,90.0,0.0,100.0,100.0,31.7,306.0
-3.8,0.1,0.0,90.0,0.0,100.0,100.0,31.3,303.0
-4.1,0.0,0.0,89.0,0.0,99.0,100.0,30.3,300.0
-4.8,0.0,0.0,88.0,0.0,97.0,100.0,28.7,297.0
-6.0,0.0,0.0,91.0,3.0,97.0,100.0,27.4,293.0
-6.7,0.0,0.0,85.0,0.0,94.0,96.0,27.2,290.0
-7.7,0.0,0.0,55.0,0.0,70.0,44.0,27.8,289.0
-8.5,0.0,0.0,11.0,0.0,17.0,2.0,28.0,288.0
-9.2,0.0,0.0,0.0,0.0,0.0,0.0,27.3,286.0
-10.3,0.0,0.0,0.0,0.0,0.0,0.0,26.4,284.0
-11.4,0.0,0.0,0.0,0.0,0.0,0.0,26.2,283.0
-12.4,0.0,0.0,0.0,0.0,0.0,0.0,22.6,278.0
-12.6,0.0,0.0,0.0,0.0,0.0,0.0,23.9,277.0
-12.8,0.0,0.0,0.0,0.0,0.0,0.0,24.9,280.0
-13.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,280.0
-12.7,0.0,0.0,0.0,0.0,0.0,0.0,23.7,279.0
-11.5,0.0,0.0,0.0,0.0,0.0,0.0,23.4,273.0
-11.1,0.0,0.0,33.0,37.0,0.0,0.0,30.1,285.0
-10.2,0.0,0.0,0.0,0.0,0.0,0.0,28.7,282.0
-10.0,0.0,0.0,16.0,18.0,0.0,0.0,28.1,279.0
-9.7,0.0,0.0,22.0,24.0,0.0,0.0,28.2,281.0
-9.6,0.0,0.0,1.0,1.0,0.0,0.0,27.3,282.0
-9.7,0.0,0.0,0.0,0.0,0.0,0.0,24.6,282.0
-10.1,0.0,0.0,41.0,9.0,54.0,0.0,19.6,284.0
-10.3,0.0,0.0,49.0,23.0,47.0,0.0,19.1,281.0
-10.7,0.0,0.0,38.0,18.0,36.0,0.0,20.5,280.0
-11.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,281.0
-11.5,0.0,0.0,0.0,0.0,0.0,0.0,22.4,281.0
-12.1,0.0,0.0,0.0,0.0,0.0,0.0,22.2,278.0
-12.4,0.0,0.0,0.0,0.0,0.0,0.0,21.7,276.0
-12.5,0.0,0.0,0.0,0.0,0.0,0.0,21.3,275.0
-12.8,0.0,0.0,0.0,0.0,0.0,0.0,21.0,275.0
-12.9,0.0,0.0,0.0,0.0,0.0,0.0,20.2,274.0
-12.9,0.0,0.0,0.0,0.0,0.0,0.0,19.8,273.0
-13.2,0.0,0.0,0.0,0.0,0.0,0.0,19.8,271.0
-14.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,275.0
-14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.7,265.0
-14.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,262.0
-13.8,0.0,0.0,0.0,0.0,0.0,0.0,17.4,264.0
-13.1,0.0,0.0,0.0,0.0,0.0,0.0,17.7,272.0
-12.1,0.0,0.0,27.0,30.0,0.0,0.0,19.4,281.0
-11.7,0.0,0.0,53.0,59.0,0.0,0.0,24.9,290.0
-11.2,0.0,0.0,20.0,22.0,0.0,0.0,24.1,287.0
-10.7,0.0,0.0,28.0,31.0,0.0,0.0,25.5,292.0
-10.6,0.0,0.0,33.0,37.0,0.0,0.0,26.0,294.0
-10.6,0.0,0.0,0.0,0.0,0.0,0.0,22.1,292.0
-10.8,0.0,0.0,0.0,0.0,0.0,0.0,20.2,292.0
-11.9,0.0,0.0,0.0,0.0,0.0,0.0,16.9,297.0
-12.3,0.0,0.0,0.0,0.0,0.0,0.0,15.5,292.0
-12.5,0.0,0.0,0.0,0.0,0.0,0.0,15.5,292.0
-13.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,295.0
-13.3,0.0,0.0,0.0,0.0,0.0,0.0,15.0,294.0
-13.9,0.0,0.0,0.0,0.0,0.0,0.0,15.6,293.0
-14.2,0.0,0.0,0.0,0.0,0.0,0.0,15.8,291.0
-14.3,0.0,0.0,0.0,0.0,0.0,0.0,15.5,292.0
-14.8,0.0,0.0,0.0,0.0,0.0,0.0,14.7,295.0
-14.8,0.0,0.0,0.0,0.0,0.0,0.0,14.2,297.0
-15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,300.0
-16.2,0.0,0.0,0.0,0.0,0.0,0.0,10.8,300.0
-17.2,0.0,0.0,0.0,0.0,0.0,0.0,10.0,285.0
-18.3,0.0,0.0,0.0,0.0,0.0,0.0,9.4,270.0
-18.3,0.0,0.0,0.0,0.0,0.0,0.0,9.5,261.0
-18.3,0.0,0.0,0.0,0.0,0.0,0.0,9.4,268.0
-16.7,0.0,0.0,0.0,0.0,0.0,0.0,7.9,273.0
-15.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,281.0
-13.1,0.0,0.0,0.0,0.0,0.0,0.0,4.9,287.0
-11.8,0.0,0.0,0.0,0.0,0.0,0.0,5.8,266.0
-10.9,0.0,0.0,0.0,0.0,0.0,0.0,6.9,242.0
-10.2,0.0,0.0,6.0,0.0,0.0,19.0,7.4,223.0
-9.7,0.0,0.0,8.0,0.0,0.0,27.0,7.5,215.0
-10.4,0.0,0.0,5.0,0.0,0.0,17.0,6.6,202.0
-10.4,0.0,0.0,23.0,0.0,26.0,25.0,8.3,185.0
-10.2,0.0,0.0,61.0,0.0,65.0,73.0,9.6,200.0
-10.2,0.0,0.0,77.0,0.0,92.0,71.0,11.6,210.0
-10.2,0.0,0.0,69.0,0.0,97.0,35.0,13.1,212.0
-10.1,0.0,0.0,57.0,0.0,95.0,1.0,14.0,215.0
-9.9,0.0,0.0,44.0,0.0,74.0,0.0,14.6,213.0
-9.8,0.0,0.0,15.0,0.0,25.0,0.0,15.0,215.0
-9.9,0.0,0.0,20.0,4.0,28.0,0.0,15.1,220.0
-9.6,0.0,0.0,34.0,6.0,48.0,0.0,15.3,219.0
-9.2,0.0,0.0,34.0,1.0,55.0,0.0,15.3,219.0
-8.7,0.0,0.0,17.0,3.0,23.0,0.0,14.3,219.0
-8.7,0.0,0.0,2.0,2.0,1.0,0.0,13.6,220.0
-9.1,0.0,0.0,24.0,3.0,15.0,42.0,10.5,218.0
-9.1,0.0,0.0,50.0,3.0,50.0,59.0,10.3,216.0
-9.1,0.0,0.0,39.0,3.0,61.0,0.0,9.0,217.0
-8.8,0.0,0.0,63.0,2.0,65.0,73.0,7.9,204.0
-7.5,0.0,0.0,48.0,0.0,30.0,100.0,10.2,212.0
-5.8,0.0,0.0,34.0,0.0,7.0,100.0,10.6,215.0
-4.5,0.0,0.0,37.0,0.0,11.0,100.0,11.6,216.0
-3.7,0.0,0.0,66.0,0.0,60.0,99.0,12.3,212.0
-2.9,0.0,0.0,73.0,0.0,89.0,64.0,14.2,207.0
-2.1,0.0,0.0,89.0,0.0,98.0,100.0,14.2,196.0
-1.4,0.1,0.1,80.0,0.0,84.0,100.0,14.2,207.0
-1.1,0.2,0.1,100.0,16.0,100.0,99.0,13.0,226.0
-1.9,0.2,0.0,95.0,10.0,94.0,100.0,9.7,219.0
-2.0,0.1,0.0,100.0,53.0,99.0,100.0,12.0,231.0
-1.5,0.0,0.0,100.0,48.0,84.0,100.0,13.8,229.0
-1.7,0.0,0.0,100.0,60.0,56.0,100.0,14.2,234.0
-1.5,0.0,0.0,94.0,33.0,57.0,100.0,13.5,241.0
-1.4,0.0,0.0,66.0,23.0,25.0,100.0,12.6,246.0
-1.5,0.0,0.0,71.0,42.0,7.0,98.0,12.6,243.0
-1.5,0.0,0.0,92.0,75.0,16.0,50.0,11.9,241.0
-1.7,0.0,0.0,38.0,35.0,0.0,20.0,11.9,241.0
-2.0,0.0,0.0,51.0,57.0,0.0,0.0,12.9,247.0
-2.3,0.0,0.0,55.0,61.0,0.0,0.0,12.9,247.0
-2.4,0.0,0.0,31.0,34.0,0.0,0.0,13.5,245.0
-3.2,0.0,0.0,44.0,49.0,0.0,0.0,13.2,244.0
-3.0,0.0,0.0,36.0,40.0,0.0,0.0,14.2,243.0
-2.6,0.0,0.0,40.0,44.0,0.0,0.0,14.8,247.0
-2.2,0.0,0.0,33.0,37.0,0.0,0.0,15.0,249.0
-0.7,0.0,0.0,33.0,37.0,0.0,0.0,14.5,256.0
2.0,0.0,0.0,14.0,16.0,0.0,0.0,13.3,272.0
4.0,0.0,0.0,13.0,14.0,0.0,0.0,11.3,279.0
5.1,0.0,0.0,36.0,40.0,0.0,0.0,13.0,289.0
5.4,0.0,0.0,60.0,67.0,0.0,0.0,12.2,294.0
5.7,0.0,0.0,26.0,29.0,0.0,0.0,12.1,297.0
5.8,0.0,0.0,7.0,8.0,0.0,0.0,10.8,296.0
5.1,0.0,0.0,3.0,3.0,0.0,0.0,9.4,293.0
3.0,0.0,0.0,2.0,2.0,0.0,0.0,10.2,312.0
2.3,0.0,0.0,7.0,7.0,1.0,0.0,10.5,322.0
1.6,0.0,0.0,0.0,0.0,0.0,0.0,10.0,330.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,333.0
0.2,0.0,0.0,6.0,0.0,0.0,21.0,11.6,334.0
-1.9,0.0,0.0,2.0,0.0,0.0,6.0,12.9,330.0
-3.3,0.0,0.0,0.0,0.0,0.0,0.0,13.7,330.0
-2.2,0.0,0.0,0.0,0.0,0.0,0.0,12.9,333.0
-2.3,0.0,0.0,0.0,0.0,0.0,0.0,12.1,323.0
-3.8,0.0,0.0,0.0,0.0,0.0,0.0,12.0,311.0
